Date,Open,High,Low,Close,Adj Close,Volume
2014-12-15,77.500000,78.290001,76.269997,77.570000,72.498421,2640100
2014-12-16,77.839996,77.930000,76.220001,76.279999,71.292747,3311600
2014-12-17,76.290001,77.080002,75.620003,76.739998,71.722687,2353700
2014-12-18,77.639999,77.879997,76.910004,77.349998,72.292809,2353400
2014-12-19,77.330002,77.970001,76.980003,77.430000,72.367569,4492400
2014-12-22,77.410004,78.610001,77.349998,78.459999,73.330223,1257100
2014-12-23,78.750000,79.029999,78.339996,78.540001,73.404991,1577000
2014-12-24,78.089996,78.570000,77.860001,78.349998,73.227409,736900
2014-12-26,78.669998,78.989998,78.519997,78.690002,73.545197,891500
2014-12-29,78.720001,79.250000,78.160004,79.080002,73.909683,1115100
2014-12-30,78.720001,79.220001,78.050003,78.300003,73.180687,1184600
2014-12-31,78.669998,79.250000,77.980003,78.029999,72.928345,1422000
2015-01-02,78.339996,78.559998,76.709999,77.750000,72.666649,1277300
2015-01-05,77.639999,77.739998,75.320000,75.620003,70.675911,2034800
2015-01-06,75.470001,75.599998,73.910004,74.669998,69.788033,2551500
2015-01-07,75.480003,76.570000,74.989998,76.379997,71.386223,1979400
2015-01-08,76.800003,79.029999,76.379997,78.910004,73.750801,2396100
2015-01-09,78.790001,79.089996,77.989998,78.730003,73.582573,2350900
2015-01-12,78.879997,79.000000,77.629997,77.910004,72.816177,1715400
2015-01-13,78.839996,79.610001,77.169998,77.419998,72.358231,2504700
2015-01-14,76.220001,77.019997,75.470001,76.570000,71.563797,1902300
2015-01-15,76.690002,77.730003,76.010002,76.099998,71.124527,1787300
2015-01-16,76.000000,76.190002,75.279999,75.889999,70.928253,3146500
2015-01-20,76.709999,76.919998,75.510002,76.320000,71.330154,1614600
2015-01-21,75.970001,77.089996,75.940002,76.260002,71.274078,1658100
2015-01-22,76.680000,78.730003,76.360001,78.480003,73.348930,2106200
2015-01-23,78.660004,78.849998,77.930000,78.510002,73.376961,1631000
2015-01-26,78.650002,79.449997,78.489998,79.419998,74.227448,1373200
2015-01-27,78.690002,79.330002,78.169998,78.610001,73.470436,1274300
2015-01-28,78.470001,78.629997,76.809998,76.900002,71.872223,2304500
2015-01-29,76.800003,77.459999,76.019997,77.110001,72.068497,2247000
2015-01-30,76.449997,76.540001,74.430000,74.500000,69.629135,3178100
2015-02-02,74.279999,74.980003,73.379997,74.800003,69.909515,3253500
2015-02-03,74.980003,76.730003,74.709999,76.629997,71.619881,2757600
2015-02-04,75.830002,76.889999,75.459999,75.940002,70.974983,2261600
2015-02-05,75.910004,76.300003,75.290001,75.699997,70.750679,2541300
2015-02-06,75.779999,76.260002,73.610001,74.220001,69.367447,3403400
2015-02-09,73.320000,73.910004,72.769997,73.389999,68.591698,2465800
2015-02-10,74.379997,77.440002,74.379997,77.230003,72.180634,3532400
2015-02-11,77.129997,77.650002,76.470001,77.019997,71.984367,1938600
2015-02-12,77.570000,79.230003,77.129997,79.019997,73.853600,2179300
2015-02-13,79.089996,79.459999,78.519997,79.400002,74.208778,1786000
2015-02-17,79.440002,81.320000,78.760002,81.290001,75.975204,3033000
2015-02-18,80.220001,81.620003,80.040001,81.449997,76.124733,3480400
2015-02-19,83.779999,84.769997,81.849998,83.099998,77.666870,3927400
2015-02-20,83.180000,83.180000,82.050003,83.000000,77.573402,1786700
2015-02-23,82.750000,83.000000,82.339996,82.949997,77.526649,1837600
2015-02-24,82.730003,82.959999,82.050003,82.250000,76.872421,1360600
2015-02-25,82.220001,82.839996,82.000000,82.360001,77.162865,1344300
2015-02-26,82.160004,83.269997,82.160004,83.220001,77.968597,1430100
2015-02-27,83.309998,83.620003,82.699997,83.099998,77.856163,2035100
2015-03-02,83.349998,84.870003,83.120003,84.830002,79.477020,2349700
2015-03-03,84.790001,84.930000,83.519997,83.910004,78.615067,1567600
2015-03-04,83.550003,83.699997,82.779999,83.150002,77.903023,1097600
2015-03-05,83.290001,83.720001,82.790001,82.900002,77.668800,1189200
2015-03-06,82.510002,82.900002,81.320000,81.519997,76.375870,1667100
2015-03-09,81.440002,82.540001,81.370003,82.480003,77.275307,1913500
2015-03-10,81.769997,81.769997,80.809998,81.260002,76.132301,1927000
2015-03-11,80.989998,81.860001,80.910004,81.070000,75.954292,1284200
2015-03-12,81.629997,83.000000,81.629997,82.800003,77.575119,1599100
2015-03-13,82.519997,82.889999,81.519997,82.080002,76.900520,1374600
2015-03-16,82.610001,83.720001,82.360001,83.489998,78.221581,1163900
2015-03-17,83.400002,83.400002,82.250000,82.440002,77.237823,1373100
2015-03-18,82.269997,83.470001,81.519997,83.230003,77.977982,1676500
2015-03-19,83.330002,84.419998,83.070000,84.309998,78.989807,1486600
2015-03-20,85.000000,85.000000,83.669998,84.040001,78.736870,3230400
2015-03-23,84.059998,84.980003,83.720001,84.269997,78.952354,2046700
2015-03-24,83.970001,84.019997,82.209999,82.250000,77.059814,2108700
2015-03-25,81.860001,81.980003,79.779999,79.790001,74.755035,3328900
2015-03-26,79.230003,81.070000,78.580002,80.580002,75.495201,3163900
2015-03-27,80.459999,81.400002,80.290001,80.820000,75.720047,1777600
2015-03-30,81.320000,81.809998,81.160004,81.500000,76.357132,1082900
2015-03-31,81.290001,81.720001,80.169998,80.320000,75.251595,1920400
2015-04-01,80.419998,80.419998,79.120003,80.330002,75.260979,1364300
2015-04-02,80.309998,80.930000,79.949997,80.150002,75.092339,1143000
2015-04-06,79.430000,80.559998,79.040001,80.279999,75.214127,1798300
2015-04-07,80.099998,80.239998,79.129997,79.150002,74.155457,2416200
2015-04-08,79.470001,80.860001,79.339996,80.190002,75.129807,2202800
2015-04-09,80.010002,80.580002,79.410004,80.220001,75.157913,1095900
2015-04-10,80.349998,80.669998,80.059998,80.320000,75.251595,851000
2015-04-13,80.190002,80.779999,79.839996,80.209999,75.148567,1027100
2015-04-14,79.860001,80.220001,79.029999,79.260002,74.258484,1652700
2015-04-15,79.430000,79.959999,78.849998,78.959999,73.977425,1381300
2015-04-16,78.550003,79.290001,78.400002,78.510002,73.555824,1711200
2015-04-17,77.919998,78.320000,77.150002,77.639999,72.740730,2927700
2015-04-20,77.989998,79.930000,77.720001,79.769997,74.736290,3587600
2015-04-21,80.089996,80.750000,79.529999,80.470001,75.392143,2344300
2015-04-22,81.050003,81.199997,80.120003,80.790001,75.691933,1572000
2015-04-23,80.459999,81.930000,80.230003,81.349998,76.216614,1236700
